Row,Col,G,B
1,1,8.563960815,-17.75765942
2,1,-4.159862797,6.095749556
3,1,-1.501090925,3.959552903
4,1,-8.563960815,17.75765958
5,1,4.159862797,-6.095749589
6,1,1.501090925,-3.959552937
2,2,9.576458112,-18.4015486
3,2,-2.548089971,4.832635365
4,2,4.159862797,-6.095749589
5,2,-9.576458112,18.40154876
6,2,2.548089971,-4.832635398
3,3,7.693972394,-17.13771806
4,3,1.501090925,-3.959552937
5,3,2.548089971,-4.832635398
6,3,-7.693972394,17.13771822
4,4,15.40107618,-33.53772619
5,4,-4.159862797,6.095749556
6,4,-4.106345375,9.518580213
7,4,-6.83711537,15.78006693
8,4,2.60525445,-5.559027345
5,5,9.576458112,-18.4015486
6,5,-2.548089971,4.832635365
6,6,14.71004281,-33.00633087
7,6,2.60525445,-5.559027345
8,6,-7.016070419,15.86861297
7,7,6.83711537,-15.78006677
8,7,-2.60525445,5.559027311
8,8,18.21035919,-27.21702086
9,8,-11.19428877,11.34840815
9,9,11.23171072,-11.40142248
10,9,-1.122658455,1.590432812
11,9,1.122658455,-1.590432812
10,10,219.3661048,188.3300083
11,10,99.55372509,-229.1773388
12,10,-32.36151823,-322.9458634
13,10,20.08163199,190.0117604
11,11,219.3563826,188.3543115
12,11,20.08163199,190.0117604
13,11,-32.36151823,-322.9458634
12,12,32.36151823,322.9458634
13,12,-20.08163199,-190.0117604
13,13,32.36151823,322.9458634
